account_id,user_id,iban,balance,currency,account_type,status,created_at
44,8034,AL0712853149382972108844,76726.71,GBP,STANDARD,ACTIVE,2026-02-08 18:47:39.753
50,5565,AL0170566188163917004850,30175.09,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:39.777
56,7842,AL0386576239311769036856,66556.53,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:39.800
74,232,AL0889558993311742054474,69539.67,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:39.873
101,4476,AL06737755981450520576101,98202.22,CHF,STANDARD,ACTIVE,2026-02-08 18:47:40.007
103,4777,AL03905141925708659712103,37958.10,USD,SAVINGS,ACTIVE,2026-02-08 18:47:40.020
113,7805,AL03978843303812910080113,4809.61,EUR,STANDARD,ACTIVE,2026-02-08 18:47:40.067
132,2271,AL02442827468265469952132,9769.93,USD,BUSINESS,ACTIVE,2026-02-08 18:47:40.180
151,7105,AL01849593365686820096151,20610.62,GBP,SAVINGS,ACTIVE,2026-02-08 18:47:40.287
156,8922,AL03873676819138620416156,66002.30,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:40.310
166,2036,AL06435219979226090496166,46124.87,GBP,BUSINESS,FROZEN,2026-02-08 18:47:40.367
180,6526,AL05726540105040169984180,20368.12,EUR,STANDARD,ACTIVE,2026-02-08 18:47:40.437
199,2936,AL01406356870344790016199,9080.98,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:40.513
204,8187,AL03240779177142130176204,1073.29,USD,SAVINGS,ACTIVE,2026-02-08 18:47:40.537
205,3371,AL06238498569073290240205,14543.69,GBP,SAVINGS,ACTIVE,2026-02-08 18:47:40.543
208,490,AL04167897833491860480208,40913.00,CHF,SAVINGS,ACTIVE,2026-02-08 18:47:40.557
275,1277,AL07861052295253040128275,37835.51,EUR,STANDARD,ACTIVE,2026-02-08 18:47:40.873
286,6320,AL05642691035886319616286,30292.70,CHF,STANDARD,FROZEN,2026-02-08 18:47:40.923
288,4822,AL02363100339806960128288,16187.92,USD,SAVINGS,ACTIVE,2026-02-08 18:47:40.933
292,7074,AL06899300359112591360292,42516.07,GBP,STANDARD,FROZEN,2026-02-08 18:47:40.950
296,7428,AL04478387936079980544296,85748.30,USD,BUSINESS,ACTIVE,2026-02-08 18:47:40.970
324,8350,AL07773726179738220544324,73560.81,USD,SAVINGS,ACTIVE,2026-02-08 18:47:41.080
330,5840,AL07393580178155729920330,85168.07,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:41.107
336,4365,AL03347680715820219904336,30462.79,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:41.133
350,7750,AL02656753247374200320350,67513.37,USD,STANDARD,ACTIVE,2026-02-08 18:47:41.187
359,299,AL00715960069516249984359,35699.71,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:41.223
362,1583,AL01262023613727500032362,45123.73,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:41.233
386,1491,AL08597907565189020672386,47325.35,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:41.330
406,1886,AL00978590667843619968406,24840.82,USD,STANDARD,ACTIVE,2026-02-08 18:47:41.410
409,1684,AL01409484251635590144409,41758.27,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:41.420
410,6055,AL05470184898089990144410,33732.88,USD,BUSINESS,ACTIVE,2026-02-08 18:47:41.427
437,6217,AL05962985450881420288437,30050.61,USD,BUSINESS,ACTIVE,2026-02-08 18:47:41.547
444,4950,AL01503728510819990016444,63057.77,GBP,STANDARD,ACTIVE,2026-02-08 18:47:41.573
455,5244,AL04434581082113129984455,10144.52,USD,STANDARD,ACTIVE,2026-02-08 18:47:41.623
473,9459,AL00885263342325050112473,3112.00,CHF,SAVINGS,ACTIVE,2026-02-08 18:47:41.697
488,8094,AL03310422968942700032488,70418.13,USD,STANDARD,ACTIVE,2026-02-08 18:47:41.763
498,237,AL04863890020501199872498,14859.71,CHF,STANDARD,ACTIVE,2026-02-08 18:47:41.800
517,1748,AL00910822606325580032517,42637.62,GBP,STANDARD,ACTIVE,2026-02-08 18:47:41.870
524,5454,AL01108127909182450048524,72402.05,CHF,STANDARD,ACTIVE,2026-02-08 18:47:41.897
541,8538,AL00346826864546500032541,60884.60,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:41.963
542,3090,AL07450294325168239616542,97639.69,CHF,STANDARD,ACTIVE,2026-02-08 18:47:41.970
558,4344,AL06942957968632790016558,91570.08,USD,SAVINGS,ACTIVE,2026-02-08 18:47:42.033
563,3818,AL06850533327544269824563,57878.22,EUR,BUSINESS,FROZEN,2026-02-08 18:47:42.053
586,9803,AL04893677954767030272586,49108.59,CHF,SAVINGS,ACTIVE,2026-02-08 18:47:42.153
611,5631,AL03295765581033250304611,6535.87,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:42.270
618,9413,AL04657879831566650368618,23121.97,EUR,BUSINESS,ACTIVE,2026-02-08 18:47:42.307
628,1916,AL06691572764737510400628,78836.14,CHF,STANDARD,ACTIVE,2026-02-08 18:47:42.350
629,5522,AL06749319143153729536629,45215.63,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:42.357
636,259,AL08876872770296180736636,76337.51,EUR,STANDARD,ACTIVE,2026-02-08 18:47:42.397
638,8603,AL01374939400925740032638,68895.03,USD,SAVINGS,ACTIVE,2026-02-08 18:47:42.410
652,9816,AL02065440509885479936652,75125.92,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:42.477
662,5759,AL08137124858930729984662,49448.54,CHF,SAVINGS,FROZEN,2026-02-08 18:47:42.523
668,150,AL02803732018969050112668,73425.72,USD,SAVINGS,ACTIVE,2026-02-08 18:47:42.550
679,6324,AL01233871035381140224679,16509.67,EUR,STANDARD,FROZEN,2026-02-08 18:47:42.600
716,7888,AL03397652692568420352716,54930.98,EUR,SAVINGS,FROZEN,2026-02-08 18:47:42.787
727,8642,AL01509644178842930176727,39351.31,EUR,BUSINESS,ACTIVE,2026-02-08 18:47:42.837
747,9308,AL05615594158273190912747,44715.15,GBP,STANDARD,ACTIVE,2026-02-08 18:47:42.923
749,3336,AL02008535488306100224749,74965.20,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:42.937
751,6150,AL05802559498529690624751,62714.32,GBP,STANDARD,ACTIVE,2026-02-08 18:47:42.943
752,7069,AL00259110617994540032752,26957.19,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:42.950
754,6508,AL01552010043916930048754,25035.68,GBP,SAVINGS,ACTIVE,2026-02-08 18:47:42.960
758,2867,AL08005174793565949952758,98733.13,USD,BUSINESS,ACTIVE,2026-02-08 18:47:42.977
766,7006,AL00700222626787580032766,12043.30,CHF,SAVINGS,ACTIVE,2026-02-08 18:47:43.017
767,4992,AL03455327033181530112767,84955.46,USD,BUSINESS,FROZEN,2026-02-08 18:47:43.023
770,488,AL08270698312719570944770,310.22,GBP,STANDARD,ACTIVE,2026-02-08 18:47:43.037
774,8865,AL02593820752493750272774,40746.42,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:43.060
777,7966,AL04136300106583580672777,32964.87,CHF,SAVINGS,ACTIVE,2026-02-08 18:47:43.070
793,6919,AL05470280777751660544793,17613.83,CHF,STANDARD,ACTIVE,2026-02-08 18:47:43.140
