blacklist_id,type,value,reason,created_at
1,USER,olsi879@live.com,Suspicious activity detected for user olsi879@live.com,2025-03-09 08:27:25.263
2,USER,granit_kuka2026@icloud.com,Suspicious activity detected for user granit_kuka2026@icloud.com,2025-01-20 16:16:25.273
3,MERCHANT,Merchant_129265383_1326,Suspicious transactions detected for merchant Merchant_129265383_1326,2025-07-02 07:12:25.280
4,IP,139.247.119.93,IP address flagged for suspicious activity: 139.247.119.93,2025-12-23 06:47:25.290
5,USER,ahoti5237@live.com,Suspicious activity detected for user ahoti5237@live.com,2025-06-06 19:55:25.300
6,MERCHANT,Merchant_1052148032_1091,Suspicious transactions detected for merchant Merchant_1052148032_1091,2026-01-06 18:37:25.303
7,USER,olsi.taylor5728@gmail.com,Suspicious activity detected for user olsi.taylor5728@gmail.com,2025-10-08 17:29:25.313
8,USER,adriatik651@icloud.com,Suspicious activity detected for user adriatik651@icloud.com,2024-08-15 12:04:25.320
9,MERCHANT,Merchant_2114852829_2494,Suspicious transactions detected for merchant Merchant_2114852829_2494,2024-08-13 06:00:25.327
10,USER,zamir463@aol.com,Suspicious activity detected for user zamir463@aol.com,2024-04-29 16:58:25.337
11,MERCHANT,Merchant_2074456186_553,Suspicious transactions detected for merchant Merchant_2074456186_553,2025-05-16 23:58:25.340
12,MERCHANT,Merchant_1962677636_3983,Suspicious transactions detected for merchant Merchant_1962677636_3983,2025-09-20 02:32:25.347
13,MERCHANT,Merchant_1508042460_1534,Suspicious transactions detected for merchant Merchant_1508042460_1534,2025-12-21 10:31:25.350
14,USER,uran.pllana2428@yahoo.com,Suspicious activity detected for user uran.pllana2428@yahoo.com,2024-09-19 13:17:25.360
15,MERCHANT,Merchant_1678119651_1638,Suspicious transactions detected for merchant Merchant_1678119651_1638,2025-12-21 14:20:25.363
16,USER,trim815@outlook.com,Suspicious activity detected for user trim815@outlook.com,2025-08-20 14:11:25.373
17,IP,254.124.50.32,IP address flagged for suspicious activity: 254.124.50.32,2025-11-25 08:17:25.383
18,MERCHANT,Merchant_1309694207_3237,Suspicious transactions detected for merchant Merchant_1309694207_3237,2025-06-27 06:52:25.387
19,IP,182.232.100.229,IP address flagged for suspicious activity: 182.232.100.229,2024-07-12 00:46:25.400
20,USER,twilliams473@aol.com,Suspicious activity detected for user twilliams473@aol.com,2026-01-17 06:30:25.410
21,IP,191.70.114.10,IP address flagged for suspicious activity: 191.70.114.10,2025-11-12 08:44:25.420
22,USER,nora327@gmail.com,Suspicious activity detected for user nora327@gmail.com,2024-10-11 10:40:25.427
23,USER,ybasha2429@live.com,Suspicious activity detected for user ybasha2429@live.com,2025-04-21 01:33:25.437
24,IP,66.148.103.158,IP address flagged for suspicious activity: 66.148.103.158,2024-06-09 08:03:25.453
25,USER,othaçi5701@hotmail.com,Suspicious activity detected for user othaçi5701@hotmail.com,2024-03-22 23:01:25.460
26,MERCHANT,Merchant_1246757930_325,Suspicious transactions detected for merchant Merchant_1246757930_325,2025-08-22 02:06:25.467
27,MERCHANT,Merchant_970264029_3329,Suspicious transactions detected for merchant Merchant_970264029_3329,2025-01-27 22:33:25.470
28,MERCHANT,Merchant_648689870_1892,Suspicious transactions detected for merchant Merchant_648689870_1892,2025-02-02 02:34:25.477
29,MERCHANT,Merchant_1071492544_777,Suspicious transactions detected for merchant Merchant_1071492544_777,2024-12-26 14:40:25.480
30,IP,231.58.223.18,IP address flagged for suspicious activity: 231.58.223.18,2024-07-01 19:50:25.490
31,USER,akadriu3049@hotmail.com,Suspicious activity detected for user akadriu3049@hotmail.com,2024-03-27 06:34:25.500
32,IP,29.111.239.216,IP address flagged for suspicious activity: 29.111.239.216,2025-10-11 09:32:25.513
33,MERCHANT,Merchant_1236518322_2186,Suspicious transactions detected for merchant Merchant_1236518322_2186,2025-11-02 23:44:25.517
34,USER,nora_rrahmani2026@live.com,Suspicious activity detected for user nora_rrahmani2026@live.com,2024-11-04 14:23:25.527
35,USER,petrit595@aol.com,Suspicious activity detected for user petrit595@aol.com,2025-10-30 14:05:25.533
36,MERCHANT,Merchant_1668909844_2902,Suspicious transactions detected for merchant Merchant_1668909844_2902,2025-07-27 04:40:25.540
37,MERCHANT,Merchant_1298983148_4100,Suspicious transactions detected for merchant Merchant_1298983148_4100,2025-09-17 04:24:25.543
38,IP,254.247.246.157,IP address flagged for suspicious activity: 254.247.246.157,2026-01-08 18:23:25.550
39,MERCHANT,Merchant_146417324_79,Suspicious transactions detected for merchant Merchant_146417324_79,2024-06-25 08:01:25.557
40,IP,207.184.203.68,IP address flagged for suspicious activity: 207.184.203.68,2025-08-21 17:43:25.563
41,USER,hleka8677@protonmail.com,Suspicious activity detected for user hleka8677@protonmail.com,2026-01-06 14:55:25.570
42,IP,238.142.134.216,IP address flagged for suspicious activity: 238.142.134.216,2025-01-17 01:17:25.577
43,USER,ibrahim.martinez2768@hotmail.com,Suspicious activity detected for user ibrahim.martinez2768@hotmail.com,2025-05-24 11:42:25.580
44,MERCHANT,Merchant_943313406_3265,Suspicious transactions detected for merchant Merchant_943313406_3265,2025-02-13 06:10:25.583
45,IP,103.99.172.192,IP address flagged for suspicious activity: 103.99.172.192,2025-01-06 23:03:25.593
46,MERCHANT,Merchant_1640842671_3572,Suspicious transactions detected for merchant Merchant_1640842671_3572,2025-08-02 01:12:25.600
47,USER,granit_rama2026@live.com,Suspicious activity detected for user granit_rama2026@live.com,2024-04-04 05:52:25.607
48,MERCHANT,Merchant_29042540_2665,Suspicious transactions detected for merchant Merchant_29042540_2665,2025-08-27 18:44:25.610
49,MERCHANT,Merchant_1996531524_3326,Suspicious transactions detected for merchant Merchant_1996531524_3326,2024-10-25 01:04:25.613
50,MERCHANT,Merchant_613426616_3583,Suspicious transactions detected for merchant Merchant_613426616_3583,2025-11-26 23:08:25.620
51,MERCHANT,Merchant_1530529068_2807,Suspicious transactions detected for merchant Merchant_1530529068_2807,2025-07-21 01:50:25.623
52,IP,220.198.99.196,IP address flagged for suspicious activity: 220.198.99.196,2025-10-18 03:16:25.630
53,MERCHANT,Merchant_1769626389_149,Suspicious transactions detected for merchant Merchant_1769626389_149,2024-08-02 23:43:25.633
54,USER,yll_rodriguez2026@protonmail.com,Suspicious activity detected for user yll_rodriguez2026@protonmail.com,2025-11-18 22:37:25.640
55,IP,87.145.29.59,IP address flagged for suspicious activity: 87.145.29.59,2025-10-17 11:49:25.643
56,MERCHANT,Merchant_858021477_1154,Suspicious transactions detected for merchant Merchant_858021477_1154,2024-09-16 08:08:25.647
57,IP,160.239.123.77,IP address flagged for suspicious activity: 160.239.123.77,2026-01-20 00:52:25.653
58,USER,dhoti7981@protonmail.com,Suspicious activity detected for user dhoti7981@protonmail.com,2025-10-09 10:51:25.660
59,MERCHANT,Merchant_1895739148_1415,Suspicious transactions detected for merchant Merchant_1895739148_1415,2025-01-20 10:40:25.663
60,MERCHANT,Merchant_1989016868_3397,Suspicious transactions detected for merchant Merchant_1989016868_3397,2025-10-12 04:24:25.667
61,IP,215.88.166.138,IP address flagged for suspicious activity: 215.88.166.138,2024-12-25 08:50:25.673
62,USER,era963@yahoo.com,Suspicious activity detected for user era963@yahoo.com,2024-08-02 05:00:25.677
63,IP,238.127.48.43,IP address flagged for suspicious activity: 238.127.48.43,2024-10-09 20:43:25.683
64,IP,143.21.41.117,IP address flagged for suspicious activity: 143.21.41.117,2024-08-03 02:24:25.690
65,MERCHANT,Merchant_1120282721_3077,Suspicious transactions detected for merchant Merchant_1120282721_3077,2025-07-02 01:43:25.693
66,USER,qendrim.garcia5040@aol.com,Suspicious activity detected for user qendrim.garcia5040@aol.com,2024-10-25 07:32:25.700
67,MERCHANT,Merchant_1696374562_1910,Suspicious transactions detected for merchant Merchant_1696374562_1910,2024-12-15 15:43:25.700
68,USER,hdavis6109@yahoo.com,Suspicious activity detected for user hdavis6109@yahoo.com,2024-04-27 17:24:25.707
69,USER,rrezart.kuka6664@protonmail.com,Suspicious activity detected for user rrezart.kuka6664@protonmail.com,2025-08-18 16:22:25.713
