user_id,full_name,email,phone,date_of_birth,country,kyc_status,risk_level,created_at,updated_at,deleted_at
1,Jon Dedaj,jdedaj1@outlook.com,41764817150,6/16/2001,Switzerland,1,0,23:18.1,23:18.1,NULL
2,Zamir Rama,zamir_rama2026@icloud.com,3.83E+11,3/8/1970,Kosove,0,2,23:18.1,23:18.1,NULL
3,Agim Gashi,agim3@gmail.com,12011681607,6/19/2008,USA,0,0,23:18.1,23:18.1,NULL
4,Altin Pllana,altin.pllana4@yahoo.com,3.83E+11,1/31/1985,Kosove,1,0,23:18.1,23:18.1,NULL
5,Xhevat Leka,xleka5@outlook.com,12016116049,4/16/1970,USA,1,0,23:18.1,23:18.1,NULL
6,Shkumbin Mustafa,shkumbin_mustafa2026@icloud.com,3.83E+11,8/22/1989,Kosove,1,0,23:18.1,23:18.1,NULL
7,Uran Gashi,uran7@aol.com,41768221927,5/8/1971,Switzerland,1,0,23:18.1,23:18.1,NULL
8,Mimoza Kryeziu,mimoza.kryeziu8@icloud.com,3.84E+11,1/7/2007,Kosove,1,2,23:18.1,23:18.1,NULL
9,Drita Thomas,dthomas9@protonmail.com,3.56E+11,9/23/1986,Shqipëri,1,0,23:18.1,23:18.1,NULL
10,Besnik Kamberi,besnik_kamberi2026@gmail.com,44792708332,5/27/1965,UK,1,0,23:18.1,23:18.1,NULL
11,Fatos Wilson,fatos11@gmail.com,12013896376,1/2/1964,USA,1,0,23:18.1,23:18.1,NULL
12,Genta Martinez,genta.martinez12@outlook.com,3.56E+11,5/21/1978,Shqipëri,1,1,23:18.1,23:18.1,NULL
13,Arta Thomas,athomas13@aol.com,41769472118,5/6/1986,Switzerland,1,2,23:18.1,23:18.1,NULL
14,Luan Hyseni,luan_hyseni2026@icloud.com,12012966436,11/27/2000,USA,0,4,23:18.1,23:18.1,NULL
15,Donika Kadriu,donika15@yahoo.com,3360102460,6/6/1992,France,0,0,23:18.1,23:18.1,NULL
16,Edona Hoti,edona.hoti16@live.com,3.83E+11,2/15/2007,Kosove,1,1,23:18.1,23:18.1,NULL
17,Olsi Rama,orama17@gmail.com,3464912903,6/15/1974,Spain,0,0,23:18.1,23:18.1,NULL
18,Indrit Hernandez,indrit_hernandez2026@aol.com,3467395194,3/5/1982,Spain,0,0,23:18.1,23:18.1,NULL
19,Fitim Mehmeti,fitim19@yahoo.com,3.56E+11,10/28/1997,Shqipëri,0,0,23:18.1,23:18.1,NULL
